gene,baseMean,log2FoldChange,pvalue,padj,-log10padj
TREM2,801.3131215005983,-2.2581534275038146,8.102358681037777e-07,0.00038896548997162644,3.410088928699328
CYTOR,984.9343957499532,1.6420674136631157,1.8180732935037364e-05,0.0024596878867202366,2.6091199976424635
GAS5,545.4489839677872,1.49967815352781,1.7025512108869363e-05,0.0023903176528697534,2.621544381176727
AKT1,1488.665422052573,1.711298845225262,4.508666498537113e-06,0.0009585424975889902,3.0183886276380343
NFKB1,1074.9079671334437,1.8720686091597143,5.3994484045902934e-05,0.005022161947319546,2.299109286905209
PTEN,437.64324711367755,-1.2942687360844218,3.5469197759828094e-05,0.0036635844551980634,2.4360937923865515
IL1B,1501.2619261103255,2.3095276023842333,0.00011467921248790977,0.008752082257667044,2.0578886092141393
TNF,856.8572283570693,1.4747967160268431,0.00013635149040637853,0.009898453074281586,2.004432671442516
IL6,1053.5856375703045,1.9994979058276616,3.3755418459508714e-05,0.0035129240385622985,2.4543312410391454
CSF1R,678.179512959861,-1.6243706112300764,1.2906331425113509e-05,0.0020007502527972835,2.6988071195603522
P2RY12,446.02171390221145,-1.0306421931933631,0.005722617110246445,0.13268952117916633,0.8771633730945538
CX3CR1,511.6684949576563,-1.0199136276666787,0.0029330849399602102,0.08537320740676464,1.0686784021569542
APOE,567.977386429301,1.6168414134892326,0.00027002439620799263,0.016009972367997394,1.7956094176395143
SPP1,1379.9559478362746,1.9930900055493215,5.4048330775524255e-06,0.0011018455597278794,2.957879274139734
MKI67,242.94356650438942,0.7751073727871804,0.0286254150689382,0.34189681144136297,0.46610494945166075
GENE00000,101.4486010475159,-0.0042432328857044364,0.9575168889562586,0.992275532814068,0.0033677171952103424
GENE00001,38.35903721976228,-0.24332623865846048,0.7757947579569973,0.958658015504026,0.018336292169960952
GENE00002,68.67713440598413,-0.8092490837962565,0.02898416012892939,0.34361684724482305,0.46392555122585344
GENE00003,322.503376202591,-0.017366909208359833,0.9012890923163183,0.9830163648071979,0.007439252171623408
GENE00004,4.308692045480791,1.1841234582773457,0.2021636500817669,0.6949562712226139,0.1580425216893074
GENE00005,1940.0927969471968,0.4114687276942885,0.1255131416232677,0.6004135562961974,0.22154951070230292
GENE00006,35.16481958104612,-0.5083658328177146,0.330902758138678,0.7953119607207568,0.0994624861302139
GENE00007,24.088258925738934,0.07334214256415603,0.8340589418887262,0.9722294678172445,0.012231219800794916
GENE00008,12.610043491340866,0.08540524393073923,0.5471953595578883,0.8965339438429275,0.0474332628841667
GENE00009,467.0702076532681,-0.5114500617505393,0.06793708583627342,0.4907959764152529,0.30909900631140635
GENE00010,292.61955613437596,0.3589612057024918,0.18494006348850867,0.6786525574138412,0.16835250998570037
GENE00011,706.53211225419,0.09876448398233337,0.6206800024514345,0.9210414287927813,0.03572083463329157
GENE00012,467.6067367296414,-0.29884366429877407,0.17415884037496968,0.6673099542894694,0.17567239671262783
GENE00013,177.2977981674362,0.4249662000234328,0.18733572571868262,0.681483997559259,0.16654433770649996
GENE00014,161.85639347181342,-0.25825929566888706,0.4442438542513588,0.8578223743309618,0.06660263037282764
GENE00015,542.3823756944273,-0.046786167546083085,0.7328203561775039,0.9474828383559172,0.023428647613003166
GENE00016,15.212537496864812,0.25223166212980824,0.5060652589061463,0.8831679573639367,0.0539566961733798
GENE00017,92.29287719492419,0.07982764649693012,0.9048240897940149,0.9833544913668171,0.007289894282175637
GENE00018,152.73193819531792,-0.20361330673683578,0.3862422379679824,0.8273456544312277,0.08231300985552273
GENE00019,38.53939416647546,0.37174103046568596,0.13883004589386067,0.6215609936800344,0.2065162476837427
GENE00020,308.32625356389656,0.6385977430833741,0.03784074939206547,0.3862455640965146,0.41313649526799817
GENE00021,46.29952373188989,0.1131650102885699,0.5848151301083964,0.9087459763896265,0.04155749903320951
GENE00022,282.4513825955112,0.041103716009021025,0.8895694806059691,0.981216499435075,0.008235157618769138
GENE00023,119.78720117570546,0.3191767760578885,0.5155654711489479,0.8849974397121438,0.05305798570951513
GENE00024,205.0736737327697,0.14616728371038165,0.5188415765348131,0.8857532399400967,0.052687250413885084
GENE00025,5.521827737078443,0.0677331971197485,0.7324203811738649,0.9474828383559172,0.023428647613003166
GENE00026,12.843979961244791,-1.0277391959824382,0.05379258856221023,0.4492087390318409,0.3475518034426638
GENE00027,831.1775589085977,-0.07332791244334359,0.7370519092214358,0.9482844741967155,0.023061359876159454
GENE00028,107.31850997134663,-0.31406383437516155,0.30879384077441285,0.7827405788459908,0.10638215089702283
GENE00029,70.7386317497588,-0.11502805582308304,0.6785196078385225,0.935407948481046,0.02899894406318774
GENE00030,403.9747698869645,-0.5077043524356802,0.09396618724803778,0.5547243106336495,0.2559228008731168
GENE00031,355.79417155957435,0.44675242514697555,0.12301139015908107,0.5953763132283579,0.2252084475509803
GENE00032,70.0896182821119,0.08416058026715473,0.5169198323481835,0.8857532399400967,0.052687250413885084
GENE00033,26.99646695938862,0.28968322740703867,0.22901384274910427,0.7213087847179196,0.14187877856650488
GENE00034,3755.8042736645466,0.05182952436494838,0.7742255535942368,0.958658015504026,0.018336292169960952
GENE00035,312.4335480107404,0.06787572597111033,0.7334212486084732,0.9474828383559172,0.023428647613003166
GENE00036,4.881718908032064,0.898719771794246,0.02337270098177812,0.3053841404836014,0.5151535209118961
GENE00037,430.73221191007826,-0.23517455515068816,0.5453741572591871,0.8960288058730824,0.047678028250115745
GENE00038,357.1770895608752,0.5080151170469237,0.004569909186252578,0.1139487367587751,0.9432904850666182
GENE00039,396.6929936132027,0.20665766824907883,0.4729279334999227,0.8695988199546765,0.06068105825883654
GENE00040,49.59373097249306,-0.17168126561436772,0.40173746986176206,0.8353832456085076,0.07811423916515096
GENE00041,1007.2753414459223,-0.7973008420586584,0.062140662208892604,0.47448811441392497,0.32377466186492093
GENE00042,23.497376106366026,0.9845916462901431,0.004723449426243985,0.11715729060227163,0.931230680436057
