record_id,source,cell_line,IL_mol_pct,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,Frac_sp3C,MW,LogP,pKa,HBD,HBA,RotBonds,TPSA,Size_nm,PDI,Zeta_mV,EE_pct,NP_ratio,efficacy
LNP_00000,Patel2020,HEK293,45.69,40.77,11.3,2.24,0.5169,730.68,10.338,6.079,2,7,5,41.48,77.1,0.1012,4.66,96.32,4.48,High
LNP_00001,Dahlman2017,MCF-7,45.44,42.21,11.26,1.09,0.6551,607.58,8.674,7.018,0,2,9,66.91,188.9,0.1073,0.01,93.93,19.64,High
LNP_00002,Sabnis2018,HEK293,49.76,40.24,8.77,1.22,0.5958,482.12,8.77,8.17,0,5,9,74.4,92.9,0.1156,1.85,85.55,10.62,Low
LNP_00003,Kauffman2015,RAW264.7,46.1,33.52,17.65,2.73,0.6568,577.07,9.483,7.076,0,8,13,54.95,64.2,0.2989,1.61,93.49,4.02,Low
LNP_00004,Billingsley2020,HeLa,49.43,36.1,12.47,2.0,0.4446,837.86,8.57,4.987,4,4,6,58.3,142.2,0.1455,15.82,88.34,8.48,Low
LNP_00005,Fenton2016,Jurkat,41.68,42.04,13.45,2.83,0.3717,426.92,7.817,6.23,0,7,13,62.33,156.8,0.0973,4.68,93.64,7.69,Medium
LNP_00006,Dahlman2017,MCF-7,46.98,40.95,10.99,1.07,0.676,654.45,7.213,5.965,3,6,10,44.08,124.9,0.0934,6.32,87.05,6.78,High
LNP_00007,Hajj2019,HepG2,45.71,40.6,10.54,3.15,0.4762,640.33,8.762,5.275,4,2,19,49.28,98.1,0.1535,4.52,93.63,12.4,Low
LNP_00008,Miao2020,PC3,46.74,35.15,16.49,1.62,0.5806,781.99,8.914,6.918,3,2,12,56.12,88.5,0.1786,-13.92,89.03,16.85,Medium
LNP_00009,Miao2020,HeLa,48.67,36.38,13.0,1.95,0.636,703.62,8.147,7.163,0,2,12,77.2,105.4,0.1314,16.3,88.42,10.22,High
