sample_id,source,ionizable_lipid,helper_lipid,cell_line,cargo,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,IL_mol_pct,Frac_sp3C,NP_ratio,size_nm,zeta_mV,PDI,pKa,MW_IL,n_amines,transfection_pct,efficacy_binary,efficacy_label
LNP_00000,BioNTech2021,cKK-E12,DSPC,HeLa,siRNA,43.93,18.32,0.8,36.95,0.5432,5.42,79.9,-0.3,0.178,6.43,681.5,2,44.0,1,High
LNP_00001,Fenton2016,DLin-MC3-DMA,DSPE,HEK293,mRNA,41.91,16.24,1.25,40.6,0.7479,4.35,71.9,12.46,0.2198,7.01,592.0,3,56.04,1,High
LNP_00002,Oberli2017,LP01,DPPC,RAW264.7,siRNA,43.81,15.71,0.93,39.55,0.7055,7.39,85.0,-14.68,0.1743,6.32,686.1,2,51.22,1,High
LNP_00003,Kulkarni2019,DLin-MC3-DMA,DSPE,Jurkat,siRNA,38.1,9.59,3.52,48.79,0.5535,3.78,66.0,-5.91,0.1807,7.33,767.0,2,19.75,0,Low
LNP_00004,Miao2020,DLin-MC3-DMA,DSPE,Jurkat,mRNA,49.82,14.95,1.43,33.8,0.5077,5.33,68.5,-15.03,0.1296,6.66,532.9,2,53.86,1,High
LNP_00005,Whitehead2014,OF-02,DOPC,MCF7,siRNA,36.84,15.73,2.09,45.34,0.3485,5.27,224.4,-3.78,0.0767,7.03,798.7,4,28.18,0,Low
LNP_00006,Kauffman2015,ALC-0315,DSPE,PC3,mRNA,46.77,17.15,2.72,33.36,0.6586,5.67,50.0,6.76,0.1128,6.14,645.0,3,62.19,1,High
LNP_00007,Oberli2017,DOTAP,DSPE,A549,pDNA,39.4,14.46,1.69,44.45,0.6973,5.35,86.6,-3.75,0.0894,6.33,741.9,3,42.36,0,Low
LNP_00008,Oberli2017,MC3,DPPC,A549,pDNA,40.79,11.08,1.77,46.35,0.4383,2.11,85.5,5.02,0.1113,6.12,937.9,2,36.16,0,Low
LNP_00009,Li2015,FTT5,DPPC,HeLa,siRNA,45.99,13.21,1.65,39.16,0.5595,2.23,80.3,-0.84,0.0989,5.65,787.3,4,23.53,0,Low
LNP_00010,Whitehead2014,L319,DSPC,HEK293,ASO,48.66,13.26,0.78,37.3,0.6663,7.25,82.2,-3.18,0.0895,6.49,797.6,1,67.79,1,High
LNP_00011,Kulkarni2019,DODAP,DPPC,HeLa,pDNA,35.99,15.95,1.45,46.61,0.5833,7.8,69.9,-13.4,0.0902,7.23,821.0,2,35.83,0,Low
LNP_00012,Patel2017,Lipid5,DPPC,PC3,mRNA,43.51,17.37,1.18,37.94,0.691,9.74,72.7,6.32,0.2165,5.76,517.0,1,43.77,1,High
LNP_00013,Fenton2016,OF-02,DPPC,Huh7,ASO,42.59,17.76,1.39,38.26,0.6057,3.9,76.2,-3.92,0.1364,6.21,790.0,2,73.17,1,High
LNP_00014,Sabnis2018,FTT5,DOPE,A549,siRNA,36.42,12.65,1.58,49.35,0.7294,11.09,82.4,2.61,0.1415,5.5,722.1,1,38.15,0,Low
LNP_00015,Hassett2019,A2-Iso5-2DC18,DSPE,Jurkat,pDNA,44.34,14.05,1.25,40.36,0.5288,3.39,52.3,-6.8,0.2697,6.63,672.2,2,48.78,1,High
LNP_00016,Jayaraman2012,A2-Iso5-2DC18,DPPC,Jurkat,mRNA,37.09,14.48,2.55,45.88,0.5945,2.55,70.4,-16.47,0.0875,6.62,594.2,3,54.53,1,High
LNP_00017,Moderna2021,SM-102,DSPC,RAW264.7,mRNA,41.74,15.96,1.16,41.14,0.3881,5.59,127.3,-12.46,0.2058,5.92,573.2,1,34.48,0,Low
LNP_00018,Fenton2016,cKK-E12,DOPC,HEK293,mRNA,39.93,15.03,0.9,44.14,0.6026,9.61,85.5,0.85,0.1351,6.78,716.5,3,33.56,0,Low
LNP_00019,Dahlman2014,LP01,DOPE,HeLa,siRNA,40.82,9.66,1.52,48.0,0.4819,2.08,154.3,-7.24,0.1324,5.96,540.9,4,32.79,0,Low
LNP_00020,BioNTech2021,DOTAP,DSPE,Jurkat,mRNA,39.7,13.61,2.75,43.94,0.6845,5.78,77.3,-0.78,0.0838,6.2,428.7,1,39.81,0,Low
LNP_00021,Oberli2017,DLin-MC3-DMA,DOPE,PC3,pDNA,45.45,15.6,1.39,37.56,0.6738,1.95,63.1,-10.97,0.1082,4.5,751.2,1,3.84,0,Low
LNP_00022,Dahlman2014,DLin-MC3-DMA,DSPE,MCF7,pDNA,36.34,9.63,1.49,52.53,0.5372,2.36,76.8,-4.85,0.0644,6.64,842.7,3,50.17,1,High
LNP_00023,Jayaraman2012,SM-102,DSPE,MCF7,mRNA,43.26,9.91,1.3,45.53,0.3055,7.42,56.9,-2.5,0.3384,6.48,758.7,2,64.54,1,High
