sample_id,CTHRC1,FHL2,LDHA,P4HA1,SERPINH1,ABCA8,CA19-9,MUC16,EGFR,KRAS,TP53,SMAD4,CDH1,VIM,FN1,COL1A1,MMP9,VEGFA,HIF1A,PCNA,PROT_04773,PROT_05214,PROT_03119,PROT_00197,PROT_04607,PROT_01737,PROT_03296,PROT_00378,PROT_00461,PROT_07044,PROT_01869,PROT_06788,PROT_07859,PROT_00526,PROT_06669,PROT_06014,PROT_01764,PROT_02052,PROT_00415,PROT_08274,PROT_06218,PROT_04917,PROT_03172,PROT_04664,PROT_00089,PROT_08324,PROT_03333,PROT_02241,PROT_06178,PROT_03962,PROT_01026,PROT_00852,PROT_01860,PROT_01539,PROT_02509,PROT_02232,PROT_01974,PROT_01865,PROT_00438,PROT_05464,PROT_02946,PROT_02858,PROT_06775,PROT_08070,PROT_08027,PROT_07544,PROT_05034,PROT_01770,PROT_05756,PROT_07288,PROT_07447,PROT_08674,PROT_08056,PROT_00467,PROT_07658,PROT_03967,PROT_05348,PROT_07083,PROT_03367,PROT_02249,PROT_03304,PROT_07306,PROT_02385,PROT_07042,PROT_03836,PROT_08532,PROT_04154,PROT_02307,PROT_04273,PROT_05799,PROT_06738,PROT_02212,PROT_06990,PROT_00463,PROT_04713,PROT_02465,PROT_05805,PROT_08476,PROT_02640,PROT_02625,PROT_06450,PROT_08494,PROT_07376,PROT_04121,PROT_02124,PROT_06241,PROT_07326,PROT_00823,PROT_07072,PROT_02703,PROT_03440,PROT_06215,PROT_02069,PROT_06768,PROT_06356,PROT_07335,PROT_00256,PROT_01863,PROT_08472,PROT_01549,PROT_00863,PROT_01208,PROT_04629,PROT_05155,PROT_01227,PROT_05195,PROT_08392,PROT_06136,PROT_02339,PROT_06722,PROT_03177,PROT_05353,PROT_01920,PROT_08768,PROT_01065,PROT_04836,PROT_07741,PROT_06484,PROT_08333,PROT_05988,PROT_04918,PROT_04754,PROT_00070,PROT_07630,PROT_02404,PROT_08103,PROT_05981,PROT_00877,PROT_07972,PROT_06471,PROT_07574,PROT_04649,PROT_01864,PROT_06674,PROT_02363,PROT_05014,PROT_00432,PROT_07074,PROT_07835,PROT_02548,PROT_08575,PROT_01933,PROT_07624,PROT_02965,PROT_03197,PROT_04871,PROT_02068,PROT_07565,PROT_00766,PROT_02642,PROT_04437,PROT_01133,PROT_03889,PROT_00401,PROT_05641,PROT_05102,PROT_00319,PROT_07575,PROT_04046,PROT_02177,PROT_01704,PROT_02784,PROT_01010,PROT_01356,PROT_02295,PROT_03645,PROT_04968,PROT_08369,PROT_01351,PROT_05477,PROT_03317,PROT_02046,PROT_01870,PROT_07263,PROT_01210,PROT_02978,PROT_06407,PROT_02335,PROT_00501,PROT_06791,PROT_04876,PROT_05060,PROT_06082,PROT_05552,PROT_07450,PROT_02767,PROT_01211,PROT_00588,PROT_07444,PROT_03283,PROT_05702,PROT_01004,PROT_08776,PROT_07754,PROT_02265,PROT_02597,PROT_05274,PROT_08732,PROT_06560,PROT_07724
S0000,26.055128,24.37049,23.756643,25.954048,22.727465,16.633842,29.304588,23.394386,21.05231,23.018497,20.631449,16.790842,19.397694,20.17614,19.659006,22.280205,21.51956,22.549812,19.12285,19.786291,19.806692,20.960398,19.399511,18.971687,19.352406,22.055471,20.734568,19.485294,17.30144,19.649506,20.138659,18.56674,20.456154,22.167269,18.792042,17.393604,20.701666,20.49008,20.541014,21.400356,17.877403,22.300798,24.845728,18.168928,19.994066,15.609628,20.902822,20.508192,19.15774,26.85168,21.115154,17.041298,21.860111,19.405003,17.668526,16.610016,20.952995,20.496336,19.187616,15.7242155,20.215015,20.757841,22.59302,17.896433,17.916365,20.361818,17.677156,16.201162,20.417042,18.29311,20.263922,19.322674,20.622168,17.76011,17.608824,18.521437,19.267458,19.178083,20.675106,20.152117,21.00941,22.63135,22.299479,18.255161,17.220629,21.212934,20.175,19.235262,19.525473,19.580719,23.837128,16.472181,20.458412,20.748251,21.700035,22.03981,16.786499,21.375393,16.530684,16.872896,20.444555,19.039974,23.339537,22.90381,19.622293,22.21502,17.881336,19.784979,17.610725,22.63167,22.580141,21.719284,22.057014,17.762838,21.096653,21.276577,20.919294,19.516705,20.504469,19.093397,21.685335,22.395462,20.021801,23.135107,18.876799,20.409838,18.00207,19.467716,20.9039,16.416054,16.510487,20.042706,19.810108,21.197302,20.195776,21.708847,20.463295,22.105808,21.230251,22.281933,22.502048,15.024534,20.030243,22.071817,16.892971,20.203983,18.867468,22.070366,23.415947,18.704872,23.205517,19.788095,20.161032,21.61444,19.673689,21.453957,18.45408,20.93982,19.206106,22.129675,20.016642,18.548304,22.145914,18.807856,19.766449,18.330656,19.339325,18.4819,21.195778,20.926418,17.23854,17.201563,18.804274,24.179485,17.977049,18.816597,17.944408,18.922907,20.114847,20.011187,18.409498,19.88726,19.182316,18.140865,21.547226,16.599628,20.472397,18.09634,23.125078,18.916098,19.992813,15.485097,21.369226,19.335676,18.70073,21.435614,23.438757,20.825508,20.437027,17.608654,16.589603,17.711626,17.490568,20.719849,21.031479,17.768812,17.648493,16.002445,24.32246,18.292824,18.196867,23.404806,19.015388,22.044447,21.319016,20.263723,22.74605,21.8302,19.894814,21.566374
S0001,24.923138,24.822638,21.539059,22.049976,23.31092,16.101862,27.37082,25.505991,20.447874,18.713682,17.596899,16.898848,17.317858,24.459923,23.47251,20.284737,19.9909,22.71688,21.659903,21.304888,18.203827,21.464056,14.887878,19.241117,22.325546,22.527336,21.183346,19.583553,16.321484,18.770462,19.131294,19.694965,18.923779,22.629843,21.39464,20.430218,19.108704,20.276909,19.46735,19.177803,19.250395,24.456194,18.855803,21.493282,18.266024,18.190382,19.431562,21.056702,17.129555,21.510796,17.572008,19.667604,20.072983,22.343988,20.406052,20.745525,18.880106,15.35343,21.988594,15.258603,21.249151,18.166853,18.081987,22.860807,20.039415,19.947126,17.541573,16.894325,20.74098,22.700138,21.361315,21.381838,21.407915,22.74459,23.692848,21.496244,23.664757,22.093773,21.137932,20.38089,18.629929,19.103952,22.093296,18.063211,18.964521,18.739286,22.675964,21.798378,19.115347,19.531353,18.159319,20.802324,17.868078,18.746449,24.097303,18.727072,19.259792,23.054071,21.40044,17.18832,18.121603,18.442907,20.78397,21.25616,19.711285,21.871012,20.996801,15.254192,22.733326,20.03788,19.998579,16.187994,16.82013,18.905476,22.142944,18.440348,23.275845,19.831528,20.890867,18.010166,19.601381,18.2348,20.032686,18.699617,19.539043,23.701883,21.43826,19.477222,18.757193,21.717714,20.930609,20.24636,20.809486,24.276201,20.712214,20.836433,23.108849,21.823252,22.011745,16.601555,19.049282,17.22044,17.86277,19.046585,21.573164,19.534225,20.53098,20.148632,20.571608,16.382534,17.415379,16.24351,17.257837,17.498055,25.200628,20.063667,18.435822,20.39166,23.05262,16.359617,19.471684,16.048319,20.059702,19.091946,19.661337,22.81214,23.947384,17.692612,23.6082,19.981289,20.218994,15.851051,17.91468,18.802567,20.899958,18.98421,18.639854,19.83681,19.820717,18.960712,21.59319,19.948446,22.478737,20.521471,22.015162,16.064135,20.636122,18.367355,15.874981,23.14785,20.291832,18.96885,19.200182,22.08124,20.734121,18.816196,20.057108,21.270689,21.57213,20.255348,16.228666,23.06413,23.187647,19.71605,19.330847,23.348902,22.223637,20.39149,17.031506,22.491009,19.236301,20.182737,16.737696,24.58748,18.992395,21.276604,18.369963,17.414055,18.833675,17.884005
S0002,23.484274,22.331066,18.268732,20.809284,25.291542,16.781967,28.349176,20.917517,23.191298,20.902454,19.474133,16.839699,16.815136,20.923483,22.628815,23.538525,25.825068,23.731441,23.450653,23.737331,15.554519,17.992773,19.764978,17.66682,19.369904,21.861717,20.217243,20.57183,20.134438,21.117233,21.020298,15.158831,23.026052,18.690636,21.252583,21.852259,18.48216,22.897352,20.074106,17.107096,19.450315,19.423584,17.16067,21.354774,16.45211,18.810684,20.916553,20.162415,18.350939,20.398407,17.603924,24.839352,18.686876,19.427755,18.284494,19.157722,22.244015,19.081793,25.473694,23.019558,19.226688,24.215843,19.077862,18.825476,18.965206,21.750177,19.342398,22.35951,21.795982,21.44578,20.681967,16.371141,24.700901,22.631628,16.735739,17.915392,19.12398,19.968254,20.89705,18.392117,19.250837,21.726921,18.033312,18.888268,17.950577,23.715128,22.015236,17.91676,18.622501,20.869844,18.235226,20.534895,21.684969,18.14113,23.5294,23.853119,23.397741,21.300102,16.41258,15.832833,22.104727,22.89172,18.306496,17.759823,21.848417,20.445606,20.962627,16.422552,19.706697,20.101055,19.372938,20.768898,19.144737,17.214575,22.341515,18.342318,18.085833,21.190115,22.490107,18.382324,20.560003,20.755178,18.472347,18.383041,20.558138,20.91804,18.12015,22.632053,21.983006,15.365814,19.495283,18.674961,15.999101,23.254087,19.330322,17.349667,24.019258,21.987726,20.542713,22.280169,18.476818,22.583824,20.885818,20.315502,16.731617,19.379585,21.5912,21.381882,21.55183,26.594732,19.652525,18.507559,20.28787,23.035662,18.011168,20.996456,18.423258,19.960884,18.378702,18.719563,21.970242,19.04753,23.216276,20.704275,18.37974,20.261423,22.097956,21.752481,15.530722,19.089659,22.159752,17.942945,23.139061,18.88888,18.50562,18.539368,19.63244,18.945997,16.105227,22.92228,22.305761,21.691141,19.190773,19.643185,21.270699,15.486747,18.853952,18.991571,20.471163,18.554646,21.887888,20.467476,22.660097,20.810211,20.999538,22.276194,20.40135,20.15938,19.96623,22.891666,21.867172,18.77941,19.448292,19.853956,15.259248,18.234161,20.349794,19.421446,21.501526,21.46975,19.29176,20.975805,18.707478,23.387836,19.625729,19.123459,19.316654,19.956692,17.379017,20.478783
S0003,22.861694,21.801945,23.060633,23.112253,22.01266,15.094071,26.940641,23.213219,22.51416,21.384188,22.634928,16.802198,16.362972,25.466372,24.054296,22.987011,19.987373,20.17276,24.414465,19.044775,19.000992,23.470102,19.613886,17.047916,23.035336,20.503399,19.446308,18.092493,18.686407,22.653423,15.169023,22.296337,20.327526,20.267704,21.433117,18.999672,18.07561,20.222677,19.520782,14.1411,19.62541,19.95575,20.122065,19.728058,19.589197,21.959675,23.318666,12.792894,16.857712,26.049465,20.604925,21.593163,17.275352,19.471237,18.391296,16.155579,24.172024,19.752388,23.724798,23.793036,16.038427,20.839128,18.588335,18.717058,18.995926,21.026957,17.444946,23.059101,18.926907,23.68649,20.712852,17.875097,17.900373,21.461617,18.83299,17.734467,19.765072,20.117512,20.765812,21.867634,19.82413,19.84826,20.389935,18.292639,22.211945,18.654713,22.770218,20.929972,21.798998,20.91921,23.772589,17.88047,16.681004,22.023586,20.674782,19.60003,19.361135,19.25701,19.050304,22.353504,18.461287,17.605986,18.154146,16.781677,19.501205,20.790571,20.754648,20.146755,22.547949,19.651197,22.394625,19.031523,21.776203,17.943691,19.102268,19.59342,20.079622,19.140837,23.035892,19.924358,20.234495,20.407562,22.159687,19.48861,17.957087,20.54218,17.44164,19.26356,21.194685,20.721333,20.32855,18.478527,21.031242,22.305819,20.789341,21.391426,20.0094,17.593609,22.110762,17.354326,20.895245,22.562674,20.16444,16.480345,17.571194,18.989752,18.481752,25.588749,18.593246,22.694115,17.28704,20.426563,22.666016,19.109858,20.930014,22.905386,24.206299,17.297789,18.992924,20.179033,18.749428,21.009422,18.079594,21.842892,22.12678,25.714167,20.520618,15.524084,20.541843,19.43024,15.783809,20.250782,25.497711,21.566133,18.844812,19.558039,19.729828,19.675882,19.350962,16.518301,21.162146,20.09276,20.63531,18.080484,21.993658,19.812357,18.337147,21.284033,21.269026,20.659431,16.810299,20.356789,18.519445,18.71415,23.700829,20.53267,23.163717,20.058605,19.37499,18.222925,17.083939,21.474318,19.649372,26.469025,20.491886,20.810295,17.75256,17.65658,17.563751,17.713692,17.819304,21.969751,23.531237,23.05568,18.464838,20.086878,18.381128,23.261925,19.428282,22.755117
S0004,25.271135,22.651041,24.308441,24.248505,22.389767,12.973031,23.468178,19.210873,22.826384,21.550957,20.21202,16.370964,21.787567,23.225195,23.779142,22.160694,23.69106,19.441425,21.223463,19.842915,18.856098,22.935764,20.330753,18.620766,21.530293,18.199442,24.344744,19.390007,22.490206,18.395134,19.846659,23.699146,16.229944,18.746384,22.41421,19.89035,18.26784,20.131336,22.494177,21.212463,18.197079,21.096647,15.0968075,24.12196,21.892225,18.848888,22.10907,22.557837,23.722538,16.651339,20.316708,18.339293,17.042269,19.256027,18.69848,17.458138,19.517776,21.180033,22.137386,22.056744,22.130243,18.023031,22.920618,20.636618,16.897894,22.580622,22.199963,22.432623,17.763422,21.59923,19.553812,19.24065,20.817392,20.025646,21.833576,19.947004,18.151354,20.638699,22.166422,18.691818,16.635006,20.779415,20.629885,15.817365,18.059475,21.46143,20.225174,23.557913,18.719622,17.192331,20.226784,18.099787,18.293985,20.346138,22.486546,22.170212,19.382929,19.476078,19.023298,20.140116,16.320875,23.034615,22.13818,20.246992,13.708958,24.347061,19.941357,23.023333,21.030334,18.272432,21.601942,18.48797,19.828428,16.466751,22.064302,21.464722,18.736012,20.949844,22.636292,18.459984,20.597942,23.465794,19.31961,19.177378,18.221523,20.809982,20.181526,24.102564,16.326424,17.862282,22.026836,17.341373,18.933407,20.45399,19.364023,19.75997,11.773684,18.536757,16.793575,17.136314,20.479298,21.564283,16.189495,22.490133,15.913482,17.377441,20.345097,25.47259,18.983498,16.270308,21.416616,18.447098,20.166264,19.565647,20.704048,20.382544,22.181187,16.947939,20.715254,20.861153,22.266191,24.232656,19.213799,26.717022,23.348557,23.579351,19.60863,19.897243,17.624954,20.959518,18.563675,21.398422,20.845062,20.62698,18.55551,20.806217,17.148481,21.118677,20.032232,22.229868,15.025703,19.671179,21.087326,18.533848,21.23411,18.001776,18.865696,20.666706,17.308056,19.899317,17.907938,20.765064,17.766716,17.886265,19.180433,19.593243,20.655975,18.270472,21.44993,21.962238,20.442915,20.751244,21.617168,21.408222,20.163713,21.147789,21.235455,22.512514,20.967445,19.697247,18.71403,19.235224,20.368587,17.36062,21.54029,20.125938,18.218328,19.444271,22.149555,23.874262
S0005,26.714031,25.091667,25.40994,24.913578,23.889538,16.744753,25.04153,22.991964,22.541693,21.884638,20.20989,16.85665,21.14623,23.991663,23.59047,23.771591,25.07572,22.484985,20.109474,21.25935,19.510448,17.273659,20.884445,22.60796,22.105797,20.735312,22.463503,20.290892,17.621708,20.314636,17.95525,18.023241,20.659805,23.504387,16.549013,21.90658,20.001633,21.626326,22.206575,18.981668,19.407042,18.512753,17.181156,18.056728,19.476051,18.720278,20.617693,20.129229,21.715385,25.434513,23.467949,21.397228,20.456768,21.404613,19.347092,20.471828,20.97025,20.230255,19.702852,21.65564,17.555365,22.019005,25.088383,17.271544,17.875881,18.903751,17.401033,17.736586,18.036657,16.898123,18.06154,18.465675,20.644606,21.310339,20.664743,20.011292,22.549988,20.989107,24.851656,20.650434,19.820118,18.271666,22.41997,20.428719,17.83117,21.49948,22.319847,22.324898,17.379595,19.804548,18.059967,21.353031,19.435192,20.536055,18.44844,22.046045,25.147133,19.890945,19.072357,18.125116,17.875479,19.2946,20.91338,18.719542,23.019285,19.42103,18.608725,19.809135,20.330172,19.271172,19.291853,18.75558,16.791151,23.431566,21.439255,16.348652,22.65487,19.269136,22.30618,21.124327,20.947832,21.140436,22.296824,20.03079,20.747608,22.453157,16.051613,20.03821,22.928156,20.23404,17.29841,22.585583,19.017258,22.494432,19.361458,19.39756,18.184595,20.447226,22.339357,20.919128,23.69731,18.478605,19.883064,20.369453,17.886211,20.945164,19.279055,25.95724,18.062971,20.784706,20.387424,21.275713,18.785757,18.875498,22.49819,21.878027,19.13235,19.835306,21.85286,20.590746,18.040445,19.902653,17.631424,20.03248,22.00738,15.791836,16.947908,18.907188,17.966867,18.086063,21.778978,21.385939,15.754164,23.48652,20.515512,22.331959,18.765236,18.18093,17.768785,19.761036,19.60271,22.513435,19.92491,21.765472,20.153606,16.603724,21.284325,18.386215,16.033592,19.84195,20.267965,18.667294,21.32232,18.077188,21.468306,26.289373,17.319563,18.032038,20.313868,17.658018,21.613346,23.169058,21.074327,18.645725,17.75121,21.843266,20.338182,17.750631,17.20866,20.206066,25.562784,21.378338,19.318752,18.568083,21.173222,20.498127,18.771152,22.142948,23.653679,23.784883
S0006,20.91597,24.039255,24.242575,25.037354,23.270203,15.936729,26.09529,22.121176,23.554636,22.31524,23.490578,17.073742,21.668224,24.269054,22.061026,22.979973,24.820335,19.921879,20.847143,23.999777,20.915646,19.481264,21.710943,24.94334,16.95848,19.986105,20.40858,17.97187,18.45376,18.931087,22.165594,22.157188,18.07004,21.094044,19.562176,18.47735,20.332611,19.1978,19.00606,18.574812,20.594193,19.47879,20.93606,21.459652,17.821825,18.633993,22.107473,16.760235,20.618519,20.922966,18.757431,18.74436,21.305256,20.72952,21.32677,17.12707,21.58606,20.178953,20.362904,22.221062,18.883476,19.94552,18.75899,18.98259,19.308811,17.252024,20.905651,21.72155,14.962713,16.172976,18.617031,21.519838,19.649517,21.09202,16.614632,18.340136,19.694508,21.25906,22.295614,19.341726,20.412256,24.81959,16.99117,20.524384,20.992352,20.856236,22.867447,19.714523,16.420197,23.665997,20.425198,19.724003,20.852932,22.722164,22.044083,16.753702,18.94333,19.301369,17.531658,14.464049,20.475925,21.095118,20.23287,19.765211,20.007113,19.8306,16.825151,22.042019,16.583689,17.994272,18.092453,19.394936,19.847382,20.692038,20.762861,16.687317,22.644394,20.893944,20.120935,19.701553,20.323019,18.477106,19.88628,17.635313,18.333307,18.99844,20.777218,18.722025,17.955826,19.522738,21.819784,19.08355,20.492172,18.0532,15.445773,21.60494,18.754118,18.25377,15.068568,20.876442,20.947784,18.752838,22.344873,18.104668,21.340454,18.501762,21.846876,23.565195,19.552801,21.162127,20.656181,24.782026,19.237997,23.391024,22.25341,16.690943,23.695673,22.904402,21.52956,19.245163,18.521406,19.622679,18.94868,16.49615,21.647009,21.061865,16.108885,17.4458,17.183907,19.123438,18.494705,18.11236,21.999086,20.718504,17.343742,20.803503,17.141964,20.695148,19.518942,19.980328,23.867477,22.25544,19.091057,22.915878,13.864861,19.372435,21.670382,25.38937,19.07768,22.947489,21.250614,18.495815,20.704302,16.335848,18.622364,18.348654,17.85472,21.698465,14.787718,20.209013,18.06066,18.161297,20.379486,20.68153,22.536205,20.520836,20.147778,18.744755,21.20102,18.812813,16.224064,22.715424,17.394773,19.738245,22.315817,20.92181,19.626171,24.1372,20.176294,17.62158
S0007,27.939684,22.924307,22.010244,25.250622,23.349136,14.1530485,26.476461,18.95367,21.458397,24.329473,24.532015,17.89213,21.343853,22.866837,26.61526,21.739918,21.82606,20.911549,19.685686,23.437716,18.500664,22.356634,18.522299,19.578915,19.401512,23.193909,20.448393,19.875692,15.856324,16.751923,18.3447,19.830332,16.628443,23.263554,19.664646,20.304,23.024954,22.910954,22.332693,20.095005,19.468456,20.32058,20.06667,20.368752,21.148438,22.232182,22.210178,17.36807,21.177658,19.458294,19.062986,18.809486,21.361103,21.676857,16.603863,18.859673,19.662245,23.000143,21.343225,21.024288,18.994925,23.029678,18.594053,18.866886,17.797066,19.449282,20.10894,17.025034,19.509626,21.867397,18.9929,22.566624,18.338646,17.443975,16.959259,21.772404,21.521734,20.543674,21.906832,20.453718,19.638178,21.553576,19.236404,21.12596,24.15021,19.964314,21.741207,18.847494,21.272148,20.657204,17.066998,19.966366,19.226858,20.772543,17.886003,14.904285,18.061533,19.148071,20.191347,13.265822,21.236061,21.660923,17.40785,20.402876,22.949663,19.899921,16.415667,17.291487,19.242605,21.11173,19.445482,21.426212,19.826172,21.104876,17.669886,24.253868,22.677446,24.851967,22.28725,18.805077,22.750381,19.528902,20.229624,13.313469,23.639853,20.559383,17.747082,17.389061,20.592052,20.590534,21.987455,18.096727,19.601803,22.31698,20.456903,19.464998,18.036955,18.099857,18.875496,19.658558,21.276548,19.059036,19.289288,18.862131,22.558287,17.604567,19.568266,24.148872,20.082317,20.781044,15.7044325,20.222578,23.70751,19.133413,17.156893,20.463713,22.180716,20.186335,21.715654,21.23509,18.580702,19.024443,17.709135,21.50864,21.50405,21.89801,17.703152,21.743626,23.771055,18.952408,19.995203,18.63649,21.91037,23.087284,18.531282,17.08184,17.802946,17.799248,20.726,16.950724,22.874489,20.328545,24.36376,18.692495,24.620161,17.68475,19.73014,20.835014,19.40687,22.059929,15.592565,19.042522,27.266884,19.287611,19.372276,21.988382,19.860495,17.90811,18.937716,19.172924,20.004635,22.691702,22.272184,20.795235,18.464285,21.69978,23.249817,16.60969,17.34193,23.042809,22.3298,22.112045,15.437409,15.446902,20.462227,20.886648,20.935036,22.03886,21.33581,21.433674
S0008,24.780518,23.988703,23.785976,21.42958,22.759012,17.480104,22.936178,20.400402,22.870174,23.281551,19.60424,18.331564,17.561825,21.70505,27.17807,22.93196,20.65918,21.224731,19.63426,23.928375,15.686412,23.894527,21.299868,19.278816,19.118393,22.975584,22.021791,18.133053,16.51536,18.366985,17.799528,20.488195,17.415615,20.064648,19.929674,20.287952,21.574373,20.524113,19.092257,17.669538,16.761086,17.642128,23.46382,21.067474,18.860607,20.76852,20.755857,20.020283,24.38192,21.35073,19.427887,19.963013,20.847473,18.195087,19.488308,22.39036,20.969273,19.38026,22.058304,22.118603,20.01037,25.063797,18.76749,19.805853,17.999723,16.078861,18.864483,18.96048,17.749475,19.388542,20.502098,20.482319,21.942514,15.253909,22.16224,20.495075,21.124748,16.564915,19.588024,20.466198,18.214447,21.288885,22.362127,20.302324,21.722612,21.265425,19.443329,17.838234,18.892483,20.446259,20.7773,20.157038,20.188911,20.380932,20.950436,21.213848,20.88866,22.770123,21.865213,23.364046,22.741045,20.097847,22.03871,22.859936,18.676903,22.149908,20.487808,19.627422,20.106968,18.802698,17.868395,17.233715,17.535986,22.457926,22.073317,20.718208,18.890522,20.004253,17.403988,19.722982,19.649248,20.918945,22.076979,21.769407,19.33605,16.662565,19.529362,21.1404,20.632433,23.732857,20.839396,18.902563,21.762497,17.281216,24.808302,23.202265,18.895172,22.861494,20.340118,22.20618,20.108614,18.04306,18.76512,20.179668,19.806196,18.99139,16.976013,20.383862,20.639814,22.893654,22.136518,21.646631,18.6801,21.048923,21.795908,21.578417,20.062597,21.80168,18.864283,19.369362,21.009647,19.695028,20.775831,21.679848,19.772778,18.644135,22.293535,22.703217,17.230179,19.71821,18.63957,19.685736,21.427906,23.282238,22.436737,17.941229,18.50456,23.83132,17.570387,22.263258,19.730717,19.499065,20.576185,21.62621,17.568645,21.654331,19.877821,21.850706,17.675425,22.040028,20.375937,17.876995,19.498068,18.968393,18.544876,21.429512,22.721708,20.86182,20.497034,20.06521,21.369612,19.590166,19.860266,22.77658,19.432228,24.148853,19.60702,19.258244,18.806723,19.351791,18.795282,20.962532,21.045094,21.969883,21.163061,18.606695,23.555058,21.021484,22.11732,22.820295
S0009,26.21524,25.18012,26.891249,25.34961,21.14681,19.837433,26.609083,20.995783,21.957355,21.081947,22.331425,17.073229,21.451027,27.698656,22.908035,20.576195,24.374739,24.133133,21.228926,19.228758,18.649185,22.869709,19.686666,22.15572,20.495018,20.423677,20.389444,18.67092,18.283848,17.588253,22.524456,19.745846,22.013906,16.890797,18.477316,21.611042,21.745655,19.622717,20.311241,20.431444,18.918488,23.699657,23.050943,17.136913,18.945568,17.305082,20.452318,21.613102,23.629887,16.286978,20.703861,18.858196,20.537737,22.671183,22.624947,20.057955,17.919992,20.512577,19.199217,18.174517,20.155125,21.007626,17.8769,21.04001,19.001654,22.057774,22.424473,19.36742,19.448748,20.674368,20.911114,21.764496,18.593758,17.002687,19.661705,20.817936,15.964292,16.779509,19.785873,18.653446,21.183752,20.1593,14.602548,15.905982,19.651285,18.424,21.490795,22.657333,21.655432,22.748339,20.888193,23.701115,16.895298,21.188686,18.884697,20.309597,20.918978,17.38894,21.269876,19.377644,22.289019,20.951515,20.5315,16.700603,17.176558,22.298395,20.605139,16.225298,20.889597,19.453985,17.20187,19.161364,20.115772,19.31259,23.204184,18.368093,21.512737,15.640226,19.540606,22.036596,19.576591,19.39414,17.267744,19.538033,18.298157,17.438416,16.872139,18.672125,18.646732,19.383175,19.964933,22.530321,20.137085,18.227264,19.304848,19.340878,20.53538,19.640797,21.08678,22.377943,19.934204,25.418156,20.427992,20.10084,21.13002,20.568474,19.174013,20.70239,21.068705,21.737179,16.400936,21.707827,21.697363,18.909006,21.109152,16.68343,18.206636,16.038347,22.263369,23.441284,19.971607,16.781322,23.480028,26.790035,21.135698,20.532125,22.100391,21.479395,21.799927,19.76429,18.715376,20.115118,19.750143,24.254509,18.834087,17.025066,20.931465,22.19505,20.929201,17.25751,18.842258,18.190943,17.666868,22.442533,19.806705,21.591913,19.586786,21.832756,19.778673,22.832596,23.778429,22.065674,20.326048,22.32687,18.619532,21.075394,22.735287,19.595337,19.123125,19.897345,19.501068,22.799627,20.551844,20.043983,21.14026,18.144257,17.629126,21.456976,17.429268,20.575531,21.194103,21.640436,20.162853,19.171635,21.810608,22.575827,23.04911,20.889317,19.262114,21.566368
