record_id,source,ionizable_lipid,helper_lipid,peg_lipid,cell_line,cargo_type,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,IL_mol_pct,size_nm,PDI,zeta_mV,encap_eff_pct,N_P_ratio,Frac_sp3C,MW_Da,logP,HBD,HBA,pKa,TPSA,RotBonds,AromaticRings,efficacy_binary,efficacy_class,transfection_prob
LNPDB_00000,Hassett2019,SM-102,DOPC,DSPE-PEG2000,Huh7,mRNA,42.98,8.59,1.9,46.53,119.3,0.103,7.7,83.3,4.13,0.594,713.5,8.32,2,2,7.42,44.9,10,1,1,High,0.7383
LNPDB_00001,Maier2013,L319,DSPC,DSPE-PEG2000,Huh7,mRNA,39.17,11.62,2.37,46.84,94.8,0.366,7.0,93.1,4.07,0.429,706.1,4.0,0,2,7.18,43.2,7,2,1,Very High,0.7911
LNPDB_00002,Kulkarni2021,cKK-E12,DSPC,DMG-PEG2000,HeLa,mRNA,43.89,8.86,3.27,43.98,133.5,0.232,-11.6,78.7,3.91,0.896,600.3,4.0,1,2,8.0,93.3,9,2,0,Low,0.4344
LNPDB_00003,Patel2017,ALC-0315,DPPC,C14-PEG2000,MCF7,siRNA,49.14,10.35,3.75,36.76,68.6,0.079,-1.9,97.5,6.91,0.48,602.3,6.0,3,7,6.02,65.0,11,0,0,Very Low,0.2074
LNPDB_00004,Moderna2021,DODAP,DSPE,C14-PEG2000,Huh7,pDNA,38.6,10.52,3.39,47.49,85.2,0.159,-0.4,84.0,6.78,0.602,667.6,6.95,0,2,5.93,63.3,19,0,1,High,0.6119
LNPDB_00005,Maier2013,MC3,DSPE,DSPE-PEG2000,MCF7,saRNA,38.6,8.94,2.9,49.56,122.0,0.225,-1.0,93.2,5.06,0.644,715.5,6.83,0,3,6.39,65.8,14,1,1,Very High,0.7522
LNPDB_00006,Billingsley2020,FTT5,DPPC,DSPE-PEG2000,HUVEC,siRNA,49.48,10.19,3.29,37.05,119.1,0.212,-12.0,76.3,4.68,0.707,414.1,9.06,0,6,6.65,64.4,17,0,0,Low,0.3764
LNPDB_00007,Hassett2019,BAMEA-O16B,DOPC,DMG-PEG2000,HeLa,pDNA,44.6,8.87,1.55,44.97,119.7,0.115,8.3,82.8,9.19,0.764,565.4,7.61,3,4,6.03,81.9,13,2,0,Low,0.4691
LNPDB_00008,Dahlman2017,DOTAP,DOPC,DSPE-PEG2000,RAW264.7,mRNA,37.18,8.86,1.93,52.03,152.6,0.257,-5.3,66.4,10.74,0.721,824.1,5.76,3,2,7.27,65.4,13,1,0,Very Low,0.1493
LNPDB_00009,Kauffman2015,C12-200,DOPE,C14-PEG2000,A549,siRNA,43.26,13.23,2.92,40.6,59.4,0.3,-4.0,61.4,5.65,0.831,819.1,8.78,2,7,5.2,60.3,6,1,0,Very Low,0.0465
