record_id,source,ionizable_lipid,helper_lipid,peg_lipid,cargo_type,cell_line,IL_mol_pct,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,MW_gmol,LogP,HBD,HBA,RotBonds,TPSA,Frac_sp3C,N_rings,N_arom_rings,pKa_head,size_nm,PDI,zeta_mV,encap_eff_pct,transfection_prob,efficacy_class,efficacy_binary
LNP_00000,Sabnis2018,Lipid5,DSPC,PEG2000-DSG,siRNA,MCF7,29.35,52.25,16.72,1.68,764.4,12.135,2.0,2.0,18.0,67.04,0.5951,0.0,0.0,7.14,137.1,0.0792,-19.0,99.9,0.2132,Low,0
LNP_00001,Miao2020,BAMEA-O16B,DSPE,PEG2000-DSG,ASO,PC3,34.28,48.69,14.79,2.25,690.9,9.718,4.0,4.0,15.0,62.79,0.7016,1.0,2.0,6.64,54.4,0.1393,-4.0,81.4,0.8383,High,1
LNP_00002,Patel2017,DOTAP,DOPC,PEG2000-DMG,mRNA,Huh7,27.06,51.11,16.8,5.04,696.1,12.537,4.0,3.0,5.0,65.18,0.6915,3.0,2.0,5.3,69.6,0.0863,-0.2,73.5,0.336,Medium,0
LNP_00003,Fenton2016,cKK-E12,DSPC,PEG2000-DMG,siRNA,MCF7,40.86,40.28,17.07,1.79,734.6,6.731,1.0,3.0,12.0,70.52,0.2785,1.0,1.0,7.73,91.8,0.1672,-16.1,86.2,0.7591,High,1
LNP_00004,Sabnis2018,C12-200,DSPE,PEG2000-DMG,mRNA,MCF7,10.9,63.77,22.95,2.38,635.5,8.67,3.0,6.0,14.0,53.51,0.5787,1.0,2.0,6.34,133.7,0.1416,-24.6,82.7,0.2999,Low,0
LNP_00005,Maier2013,DLin-MC3-DMA,DOPC,PEG2000-DMG,mRNA,Jurkat,35.93,37.95,23.62,2.5,683.1,3.477,4.0,4.0,8.0,73.49,0.7045,3.0,0.0,5.95,105.4,0.0921,-8.0,87.9,0.595,Medium,1
LNP_00006,Patel2017,ALC-0315,DSPC,PEG2000-DSPE,mRNA,MCF7,16.06,57.28,24.85,1.82,535.2,11.442,4.0,3.0,11.0,66.93,0.5774,0.0,2.0,6.58,100.3,0.1535,-10.8,88.9,0.2574,Low,0
LNP_00007,Maier2013,Lipid5,DSPC,PEG2000-DMG,ASO,A549,39.01,43.42,15.1,2.47,605.3,10.376,1.0,3.0,23.0,47.72,0.6055,1.0,2.0,6.09,127.0,0.0834,-2.2,69.5,0.1836,Low,0
LNP_00008,Hassett2019,ALC-0315,DPPC,PEG2000-DMG,pDNA,Jurkat,31.74,46.67,19.78,1.81,703.1,10.705,3.0,4.0,10.0,65.8,0.6063,3.0,1.0,6.75,124.4,0.162,-8.3,69.9,0.7914,High,1
LNP_00009,Kauffman2015,DLin-MC3-DMA,DPPC,PEG1000-DMG,siRNA,A549,27.11,56.98,13.86,2.06,811.7,10.402,3.0,4.0,22.0,52.37,0.6867,0.0,1.0,5.92,136.7,0.1673,-30.7,56.1,0.6604,Medium,1
LNP_00010,Semple2010,C12-200,DPPC,PEG2000-DSPE,siRNA,A549,11.74,61.33,23.55,3.38,686.0,7.75,4.0,4.0,5.0,38.82,0.4131,2.0,0.0,6.89,90.8,0.1037,-4.3,72.2,0.201,Low,0
LNP_00011,Kauffman2015,C12-200,DOPC,PEG2000-DSG,saRNA,RAW264.7,41.73,36.32,19.77,2.18,621.5,5.775,2.0,8.0,24.0,63.51,0.2343,1.0,2.0,6.73,92.3,0.1701,32.6,95.4,0.2194,Low,0
LNP_00012,Fenton2016,BAMEA-O16B,DOPE,PEG2000-DMG,mRNA,RAW264.7,26.21,51.14,21.13,1.51,646.2,8.347,0.0,9.0,18.0,73.91,0.484,2.0,0.0,6.23,115.5,0.1343,16.0,71.9,0.4352,Medium,0
LNP_00013,Semple2010,Lipid5,DSPE,PEG2000-DSPE,pDNA,HEK293,28.8,50.04,20.41,0.75,542.9,5.783,0.0,6.0,9.0,41.94,0.7016,0.0,0.0,7.3,76.6,0.0671,-12.0,49.3,0.4148,Medium,0
LNP_00014,Hassett2019,Lipid5,DOPC,PEG2000-DSG,siRNA,Jurkat,43.9,36.3,17.67,2.13,388.4,10.593,1.0,3.0,18.0,65.9,0.4449,3.0,2.0,6.69,74.7,0.095,-6.1,80.9,0.0682,Low,0
LNP_00015,Akinc2008,cKK-E12,DPPC,PEG1000-DMG,pDNA,RAW264.7,31.69,53.29,13.54,1.49,783.5,9.511,1.0,3.0,19.0,31.39,0.5923,0.0,2.0,6.94,125.3,0.0645,-4.0,50.1,0.1004,Low,0
LNP_00016,Sabnis2018,DLin-MC3-DMA,DSPE,PEG1000-DMG,siRNA,Jurkat,48.86,38.14,12.2,0.8,685.7,7.495,3.0,2.0,16.0,44.13,0.7171,1.0,2.0,7.62,77.4,0.0876,25.8,54.1,0.3295,Low,0
LNP_00017,Semple2010,DOTAP,DSPC,PEG1000-DMG,pDNA,HEK293,33.57,47.07,14.36,5.0,575.1,8.713,4.0,4.0,6.0,76.2,0.6465,0.0,1.0,6.46,178.1,0.1699,-17.9,92.0,0.0625,Low,0
LNP_00018,Hajj2019,SM-102,DOPE,PEG2000-DSG,pDNA,HeLa,36.67,45.04,16.79,1.51,738.1,10.216,2.0,8.0,13.0,79.98,0.6246,3.0,2.0,6.42,45.4,0.1462,-16.8,79.2,0.4234,Medium,0
LNP_00019,Semple2010,L319,DPPC,PEG2000-DSPE,mRNA,A549,26.12,46.57,26.3,1.01,550.5,11.539,3.0,2.0,12.0,59.47,0.7085,0.0,0.0,5.9,74.9,0.15,-48.0,96.5,0.9222,High,1
LNP_00020,Miao2020,FTT5,DSPC,PEG2000-DSG,mRNA,RAW264.7,33.95,42.7,22.68,0.67,647.5,7.784,4.0,2.0,16.0,65.3,0.4143,1.0,1.0,6.49,82.5,0.0836,-12.9,80.6,0.8186,High,1
LNP_00021,Dahlman2017,A18-Iso5-2DC18,DOPC,PEG2000-DSG,pDNA,A549,31.39,55.53,11.67,1.41,677.5,8.577,4.0,3.0,15.0,42.68,0.4689,1.0,1.0,5.45,43.6,0.1179,18.0,77.9,0.0688,Low,0
LNP_00022,Kauffman2015,C12-200,DSPE,PEG2000-DSG,mRNA,Huh7,52.17,35.7,8.89,3.23,600.5,7.498,1.0,6.0,13.0,24.33,0.624,2.0,1.0,7.72,48.7,0.17,-35.4,82.2,0.6343,Medium,1
LNP_00023,Kauffman2015,C12-200,DOPC,PEG2000-DMG,mRNA,HeLa,22.35,51.25,25.41,0.99,756.3,11.27,2.0,7.0,24.0,85.59,0.5579,3.0,2.0,6.28,173.2,0.2376,3.7,85.5,0.282,Low,0
LNP_00024,Jayaraman2012,ALC-0315,DSPE,PEG2000-DSG,siRNA,PC3,32.81,43.66,21.58,1.95,580.5,6.623,1.0,3.0,8.0,66.05,0.285,0.0,1.0,6.98,99.2,0.1588,31.3,91.7,0.2443,Low,0
LNP_00025,Lokugamage2019,ALC-0315,DSPE,PEG2000-DSPE,pDNA,A549,24.87,47.12,23.37,4.64,672.6,11.111,1.0,8.0,14.0,60.68,0.5627,0.0,2.0,5.56,105.9,0.1259,-24.5,82.9,0.6305,Medium,1
LNP_00026,Akinc2008,DODAP,DOPE,PEG1000-DMG,pDNA,RAW264.7,24.65,50.9,22.84,1.61,681.6,7.557,4.0,9.0,21.0,76.91,0.4949,0.0,2.0,7.0,72.6,0.1465,-3.0,79.5,0.6219,Medium,1
LNP_00027,Maier2013,DODMA,DPPC,PEG2000-DSG,siRNA,Huh7,44.1,40.94,13.32,1.64,558.8,9.908,3.0,2.0,23.0,40.34,0.6394,0.0,0.0,5.86,104.5,0.084,-7.5,79.6,0.8533,High,1
LNP_00028,Maier2013,ALC-0315,DOPC,PEG2000-DSPE,mRNA,MCF7,23.98,46.26,27.7,2.07,694.4,8.982,3.0,4.0,8.0,55.22,0.568,3.0,1.0,6.71,152.6,0.198,-20.2,88.3,0.7978,High,1
LNP_00029,Fenton2016,L319,DOPE,PEG1000-DMG,mRNA,HeLa,26.03,47.88,24.91,1.18,739.1,6.443,0.0,4.0,18.0,31.87,0.3561,3.0,2.0,6.86,127.0,0.08,-13.2,98.5,0.2839,Low,0
LNP_00030,Hassett2019,DODMA,DPPC,PEG2000-DSG,saRNA,HEK293,30.79,41.34,24.5,3.37,930.8,8.896,3.0,5.0,7.0,4.64,0.451,3.0,1.0,5.31,136.1,0.1057,-5.9,88.5,0.6913,High,1
LNP_00031,Sabnis2018,C12-200,DSPC,PEG2000-DSG,mRNA,PC3,29.65,43.68,25.82,0.86,626.8,10.819,3.0,6.0,12.0,39.22,0.3833,3.0,2.0,6.46,95.3,0.0898,-1.5,89.3,0.5653,Medium,1
LNP_00032,Sabnis2018,L319,DSPE,PEG2000-DMG,saRNA,MCF7,30.19,50.39,18.23,1.19,685.1,9.959,4.0,2.0,9.0,47.52,0.3292,3.0,0.0,7.47,97.0,0.0731,-11.5,74.0,0.3365,Medium,0
LNP_00033,Kulkarni2019,DLin-MC3-DMA,DPPC,PEG2000-DSPE,pDNA,RAW264.7,48.37,32.97,17.66,1.0,717.4,9.434,3.0,3.0,17.0,49.16,0.6644,3.0,1.0,6.75,92.6,0.1164,14.2,86.5,0.4862,Medium,0
